epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
80,21389.8,0.5279,0.22394,0.0047,0.63587,0.64902,0.65835,0.59771,0.50907,1.77207,0.00873,0.00959739,0.00319913,0.00959739,0.00319913,0.00959739,0.00319913,0.00959739,0.00319913
81,21654.6,0.52933,0.22142,0.0046,0.61534,0.65604,0.65685,0.59811,0.51014,1.76677,0.00877,0.00933913,0.00311304,0.00933913,0.00311304,0.00933913,0.00311304,0.00933913,0.00311304
82,21918.4,0.53102,0.22341,0.00469,0.62687,0.6451,0.65657,0.59888,0.51154,1.77509,0.00881,0.00908087,0.00302696,0.00908087,0.00302696,0.00908087,0.00302696,0.00908087,0.00302696
83,22182.1,0.52811,0.22149,0.00467,0.64597,0.62718,0.65467,0.59691,0.51237,1.76333,0.00884,0.00882261,0.00294087,0.00882261,0.00294087,0.00882261,0.00294087,0.00882261,0.00294087
84,22445.6,0.52611,0.22441,0.00468,0.64555,0.64042,0.65783,0.59922,0.51208,1.75933,0.00882,0.00856435,0.00285478,0.00856435,0.00285478,0.00856435,0.00285478,0.00856435,0.00285478
85,22710.3,0.52405,0.22132,0.00467,0.65133,0.62957,0.65736,0.6012,0.51172,1.75676,0.0088,0.00830609,0.0027687,0.00830609,0.0027687,0.00830609,0.0027687,0.00830609,0.0027687
86,22975,0.52162,0.22127,0.0046,0.63743,0.64376,0.65978,0.60321,0.51026,1.74599,0.00877,0.00804783,0.00268261,0.00804783,0.00268261,0.00804783,0.00268261,0.00804783,0.00268261
87,23240.3,0.5166,0.21809,0.00451,0.64167,0.64771,0.66068,0.60321,0.51039,1.73724,0.00879,0.00778957,0.00259652,0.00778957,0.00259652,0.00778957,0.00259652,0.00778957,0.00259652
88,23505.6,0.5121,0.2156,0.00451,0.64664,0.64629,0.66429,0.60696,0.50976,1.72757,0.00879,0.0075313,0.00251043,0.0075313,0.00251043,0.0075313,0.00251043,0.0075313,0.00251043
89,23769.9,0.51109,0.21286,0.00447,0.64973,0.64955,0.66368,0.60559,0.50921,1.72725,0.00877,0.00727304,0.00242435,0.00727304,0.00242435,0.00727304,0.00242435,0.00727304,0.00242435
90,24034.4,0.50772,0.21148,0.00448,0.64942,0.64436,0.66354,0.60601,0.50937,1.73426,0.00876,0.00701478,0.00233826,0.00701478,0.00233826,0.00701478,0.00233826,0.00701478,0.00233826
91,24298,0.50791,0.20894,0.00446,0.65511,0.64195,0.66423,0.60698,0.50954,1.72336,0.00877,0.00675652,0.00225217,0.00675652,0.00225217,0.00675652,0.00225217,0.00675652,0.00225217
92,24560.1,0.50739,0.21306,0.00444,0.6549,0.64247,0.66391,0.60568,0.51033,1.72034,0.0088,0.00649826,0.00216609,0.00649826,0.00216609,0.00649826,0.00216609,0.00649826,0.00216609
93,24825.1,0.50293,0.20908,0.0044,0.65534,0.6429,0.66502,0.6062,0.51031,1.73056,0.0088,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
94,25089.4,0.49884,0.20672,0.00437,0.63856,0.65215,0.66465,0.60668,0.5104,1.73323,0.00879,0.00598174,0.00199391,0.00598174,0.00199391,0.00598174,0.00199391,0.00598174,0.00199391
95,25353.4,0.49803,0.20409,0.0044,0.64896,0.64083,0.66428,0.60668,0.51062,1.73768,0.00879,0.00572348,0.00190783,0.00572348,0.00190783,0.00572348,0.00190783,0.00572348,0.00190783
96,25617.7,0.49663,0.20219,0.00437,0.64836,0.64642,0.66219,0.60483,0.51023,1.74382,0.00877,0.00546522,0.00182174,0.00546522,0.00182174,0.00546522,0.00182174,0.00546522,0.00182174
97,25882.6,0.49273,0.20427,0.00434,0.64586,0.64808,0.65959,0.60282,0.51009,1.7457,0.00876,0.00520696,0.00173565,0.00520696,0.00173565,0.00520696,0.00173565,0.00520696,0.00173565
98,26146.2,0.48979,0.19892,0.00428,0.64755,0.65271,0.66167,0.60499,0.51007,1.74149,0.00876,0.0049487,0.00164957,0.0049487,0.00164957,0.0049487,0.00164957,0.0049487,0.00164957
